selecao,confederacao,media_gols_marcados_ciclo,media_gols_marcados_ult15,total_jogos_ciclo,pred_lr,pred_rf,pred_xgb,pred_media,divergencia
Portugal,UEFA,2.5789473684210527,2.466666666666667,38,1.7746139054283028,1.8658095238095234,2.0570931,1.8991721909003203,0.14416459567710557
Netherlands,UEFA,2.4210526315789473,2.6666666666666665,38,1.756542667191138,1.7919999999999996,2.0130234,1.853855347885327,0.1389789610117192
Austria,UEFA,2.25,2.466666666666667,36,1.6820304238412531,1.6891428571428562,1.9645336,1.7785689494708994,0.16108934175164877
Spain,UEFA,2.6666666666666665,2.933333333333333,39,1.9214530024050123,1.6635,1.5721085,1.719020503187128,0.18116922695575463
Argentina,CONMEBOL,2.1621621621621623,2.3333333333333335,37,1.793711745393542,1.7121904761904754,1.5798542,1.6952521571794137,0.10793024171697614
England,UEFA,2.1025641025641026,2.533333333333333,39,1.66685369957675,1.6156428571428563,1.7091702,1.6638889263340053,0.04683411596018983
Senegal,CAF,2.046511627906977,2.6,43,1.6807209855615657,1.5634285714285705,1.745297,1.6631488373662595,0.09219876647628658
Belgium,UEFA,2.2222222222222223,2.6666666666666665,36,1.7777606830984176,1.588714285714286,1.5182548,1.6282432419133979,0.1341929029908109
New Zealand,OFC,2.032258064516129,2.6,31,1.6736399602652126,1.806261904761905,1.4022369,1.6273796011678934,0.20594673817112943
Germany,UEFA,2.1052631578947367,2.466666666666667,38,1.4650083494873947,1.7146666666666672,1.6188,1.5994916867379383,0.12594414766493411
Croatia,UEFA,1.9428571428571428,2.3333333333333335,35,1.5459678703091975,1.8021904761904768,1.4125407,1.5868996735697563,0.19802348707806347
Denmark,UEFA,1.8611111111111112,2.3333333333333335,36,1.5727550031421993,1.7573571428571437,1.2641612,1.5314244583776497,0.24918208759118232
Egypt,CAF,1.6666666666666667,1.1333333333333333,45,1.0813309272880136,1.5139761904761906,1.7506758,1.4486609717422223,0.3394189110169207
Uzbekistan,AFC,1.6,1.3333333333333333,40,1.1931400795517735,1.4585476190476183,1.6620282,1.4379052973577358,0.23512463700749014
Algeria,CAF,2.2127659574468086,2.2,47,1.48911563189908,1.2290952380952374,1.5474359,1.4218822499005512,0.1694858010770247
Costa Rica,CONCACAF,1.7777777777777777,2.2666666666666666,45,1.3332650240596031,1.4798333333333331,1.4506682,1.4212555243815281,0.07758477383524029
Colombia,CONMEBOL,1.825,2.0,40,1.4846280409657462,1.2847619047619048,1.3873669,1.3855856122116463,0.0999449739386968
Mali,CAF,1.5945945945945945,1.6,37,1.4122932073530392,1.230714285714286,1.460438,1.3678151687147027,0.12114854381776383
Australia,AFC,1.9166666666666667,1.6666666666666667,36,1.2726656345238991,1.3971904761904765,1.4101212,1.3599924377277492,0.07590308846729936
South Korea,AFC,1.9487179487179487,1.6,39,1.1222169782611466,1.3380000000000003,1.6148263,1.3583477666210049,0.24693423211756454
Switzerland,UEFA,1.9189189189189189,2.2666666666666666,37,1.4387902414349818,1.3465714285714285,1.2859013,1.3570876593553676,0.07698506231460894
Morocco,CAF,2.0833333333333335,1.7333333333333334,48,1.3725597306719408,1.3179523809523805,1.3281764,1.3395628302760392,0.029029796965601144
Italy,UEFA,1.9166666666666667,2.2666666666666666,36,1.3636438401351816,1.2343333333333337,1.3080161,1.301997745083784,0.06486498974219651
Ivory Coast,CAF,1.8372093023255813,1.8666666666666667,43,1.4235171845202659,1.2145714285714286,1.2613817,1.2998234528100447,0.1096490122493454
Iraq,AFC,1.4782608695652173,1.1333333333333333,46,0.9222312831963873,1.323380952380952,1.6492306,1.2982809449935735,0.3641490206213578
France,UEFA,2.236842105263158,2.2666666666666666,38,1.4407612325896602,1.0945,1.3512893,1.2955168349660033,0.17974185342862453
Nigeria,CAF,1.6818181818181819,2.066666666666667,44,1.2913094761999928,1.176714285714286,1.4108021,1.2929419626150216,0.11705245829638888
Turkey,UEFA,1.7567567567567568,2.1333333333333333,37,1.2512863092388908,1.3265952380952377,1.2933476,1.2904097148187736,0.037740324000916245
Iran,AFC,2.2432432432432434,1.8,37,1.474996790128827,1.1823571428571433,1.1829942,1.2801160598229397,0.16877196378153103
Japan,AFC,2.972972972972973,1.8666666666666667,37,1.5251448704444444,1.1328809523809522,0.9926055,1.2168771100664022,0.2760272797829202
South Africa,CAF,1.4680851063829787,1.4666666666666666,47,1.0207992499859304,1.2444761904761905,1.3817353,1.2156702551072467,0.18218410734931323
Jordan,AFC,1.7346938775510203,1.6666666666666667,49,1.0664793746047718,1.139142857142857,1.3624392,1.1893537957754141,0.15423651239992706
Ecuador,CONMEBOL,1.054054054054054,0.9333333333333333,37,1.1124998978311194,1.0516666666666674,1.3962344,1.1868003192058663,0.18390797696299357
Brazil,CONMEBOL,1.6571428571428573,1.8,35,1.247364252091177,1.0784999999999998,0.9387578,1.0882073431017423,0.1545320790858418
Uruguay,CONMEBOL,1.394736842105263,0.9333333333333333,38,0.9598361497602226,1.1372380952380956,1.1276196,1.0748979563787322,0.09976243407872978
Panama,CONCACAF,1.5686274509803921,1.8,51,1.1885637788071712,1.0442857142857143,0.9639445,1.0655979959390531,0.11381614871112003
Mexico,CONCACAF,1.4814814814814814,1.0666666666666667,54,0.9396711717972557,1.0555,1.0867875,1.027319544677251,0.07750099531394282
Guatemala,CONCACAF,1.25,1.2666666666666666,48,0.7752368788506743,1.0340952380952382,1.2712432,1.0268584438510504,0.2480823445367747
Cameroon,CAF,1.3513513513513513,1.3333333333333333,37,1.0214948885165356,0.9816428571428578,1.0644513,1.0225296941733502,0.04141393721144864
United States,CONCACAF,1.9423076923076923,1.8,52,1.007241708664325,0.9961904761904765,1.0474118,1.016947994761883,0.026954869337085786
Canada,CONCACAF,1.4390243902439024,1.6,41,1.2257001983523508,0.938547619047619,0.7921618,0.9854698799063334,0.22054513097430203
Venezuela,CONMEBOL,1.088235294117647,1.1333333333333333,34,0.8666307339848203,0.9505714285714287,1.0626001,0.9599340994531572,0.0983196130830227
Scotland,UEFA,1.457142857142857,1.4666666666666666,35,0.932947886788433,0.8702380952380955,0.6775198,0.8269019267684458,0.13311421683329897
Hungary,UEFA,1.3142857142857143,1.2,35,0.9341662317043887,0.7720238095238098,0.62828565,0.778158562555599,0.1530325439463984
Jamaica,CONCACAF,1.4230769230769231,1.4666666666666666,52,0.9680764405881139,0.838047619047619,0.4538852,0.7533364190917328,0.26735771754288984
Honduras,CONCACAF,1.4285714285714286,1.1333333333333333,42,0.8720260839710451,0.6564285714285713,0.5877299,0.705394842224219,0.1483386527353264
Saudi Arabia,AFC,1.1851851851851851,1.0666666666666667,54,0.713591253019898,0.5464761904761904,0.17451203,0.4781931573967471,0.27595023460727125
Serbia,UEFA,1.2285714285714286,1.0,35,0.8482364710609925,0.3663333333333334,-0.015203491,0.39978877118033873,0.4326911042519756
