selecao,confederacao,total_jogos_ciclo,media_gols_marcados_ciclo,media_gols_marcados_ult15,elo_medio_adv_ciclo,fase_ultima_copa,media_gols_ultimas2_copas,valor_mercado_milhoes,previsao
Spain,UEFA,39,2.6666666666666665,2.933333333333333,1269.4912022023937,2,2.0,1150.0,2.1816360388885037
Argentina,CONMEBOL,37,2.1621621621621623,2.3333333333333335,1232.43082419633,5,1.8214285714285714,575.0,1.999125560815862
Colombia,CONMEBOL,40,1.825,2.0,1328.30346249621,0,1.5,285.1,1.9369900808734752
Netherlands,UEFA,38,2.4210526315789473,2.6666666666666665,1222.845402268024,3,2.0,808.0,1.9309833005874366
Portugal,UEFA,38,2.5789473684210527,2.466666666666667,1187.6177711113507,3,1.95,841.0,1.9241807150138266
Belgium,UEFA,36,2.2222222222222223,2.6666666666666665,1185.4829689890114,1,1.3095238095238095,442.2,1.8636792019284298
England,UEFA,39,2.1025641025641026,2.533333333333333,1197.0085598109247,3,2.157142857142857,1300.0,1.8447004411774417
France,UEFA,38,2.236842105263158,2.2666666666666666,1264.0461962292168,5,2.142857142857143,1290.0,1.798973569923231
Norway,UEFA,32,2.59375,3.3333333333333335,1166.8729853125212,0,0.0,502.9,1.7113991508195854
Germany,UEFA,38,2.1052631578947367,2.466666666666667,1299.545480052678,1,1.3333333333333333,828.0,1.7054552494195026
Brazil,CONMEBOL,35,1.6571428571428573,1.8,1324.4849094606147,3,1.6,932.0,1.7048288835354857
Croatia,UEFA,35,1.9428571428571428,2.3333333333333335,1203.8264298152922,6,1.5714285714285714,258.5,1.6719412848026303
Japan,AFC,37,2.972972972972973,1.8666666666666667,1168.0563072176142,2,1.375,223.5,1.6277478486172892
Ecuador,CONMEBOL,37,1.054054054054054,0.9333333333333333,1309.6788193597088,1,1.3333333333333333,349.58,1.6054793862580024
Switzerland,UEFA,37,1.9189189189189189,2.2666666666666666,1205.4250054899348,2,1.25,251.0,1.5916073347938204
New Zealand,OFC,31,2.032258064516129,2.6,1160.125143908983,0,0.0,,1.5389917760224097
Senegal,CAF,43,2.046511627906977,2.6,1066.5631861936029,2,1.2916666666666665,405.9,1.4729127063572753
Austria,UEFA,36,2.25,2.466666666666667,1150.4270436818956,0,0.0,231.9,1.4508442347582262
