selecao,confederacao,total_jogos_ciclo,media_gols_marcados_ciclo,media_gols_marcados_ult15,elo_medio_adv_ciclo,elo_medio_adv_ult15,pred_lr,pred_rf,pred_xgb,pred_media,divergencia
Norway,UEFA,32,2.59375,3.3333333333333335,1166.8729853125212,1155.7601203407419,1.8892809570673408,2.022142857142857,2.0775385,1.9963207681685358,0.09674869463474801
England,UEFA,39,2.1025641025641026,2.533333333333333,1197.0085598109247,1121.9755015844778,1.7552606454844777,1.7597619047619049,2.1650088,1.893343777862279,0.2352795608098234
Netherlands,UEFA,38,2.4210526315789473,2.6666666666666665,1222.845402268024,1178.3437571752484,1.845124791324341,1.9844523809523806,1.6472551,1.8256107451112225,0.169443519494475
Argentina,CONMEBOL,37,2.1621621621621623,2.3333333333333335,1232.43082419633,1212.1585381253046,1.9986483383474472,1.8649047619047618,1.5403858,1.801312980858504,0.23565666716230632
Belgium,UEFA,36,2.2222222222222223,2.6666666666666665,1185.4829689890114,1144.0893983455119,1.842368827278246,1.7286190476190475,1.8160962,1.7956946871783905,0.0595560154667491
Germany,UEFA,38,2.1052631578947367,2.466666666666667,1299.545480052678,1226.1491277636794,1.7407639557007224,1.8002857142857147,1.7719339,1.770994527739111,0.029771996407516217
Portugal,UEFA,38,2.5789473684210527,2.466666666666667,1187.6177711113507,1262.1456032982821,1.8203731343073555,1.6893809523809522,1.7927859,1.767513323212712,0.069056242572338
Croatia,UEFA,35,1.9428571428571428,2.3333333333333335,1203.8264298152922,1164.8940666946023,1.642931830618613,1.7898333333333334,1.8174586,1.7500745978533667,0.09381081321792498
Austria,UEFA,36,2.25,2.466666666666667,1150.4270436818956,1057.351321620591,1.63504745247625,1.5681666666666663,1.99222,1.7318113877596544,0.22798631782290255
Spain,UEFA,39,2.6666666666666665,2.933333333333333,1269.4912022023937,1284.1346851100925,2.139319711018763,1.616047619047619,1.3789736,1.7114469777716594,0.3890466927426952
Colombia,CONMEBOL,40,1.825,2.0,1328.30346249621,1332.9174547154178,1.936907639537464,1.4934285714285718,1.6182872,1.682874472220714,0.22868549847011163
New Zealand,OFC,31,2.032258064516129,2.6,1160.125143908983,1183.1653454519362,1.6572118374901654,1.875809523809524,1.4633204,1.66544724526284,0.206367853680543
Turkey,UEFA,37,1.7567567567567568,2.1333333333333333,1239.9723453536913,1233.7684466077403,1.3642532177106328,1.524,1.848213,1.5788220583642782,0.24659349336147446
Ecuador,CONMEBOL,37,1.054054054054054,0.9333333333333333,1309.6788193597088,1334.9152094624706,1.5948132705067248,1.3737619047619052,1.5683172,1.512297450060043,0.12070453079208392
Japan,AFC,37,2.972972972972973,1.8666666666666667,1168.0563072176142,1231.7934699471214,1.5792360538010626,1.3906428571428568,1.5144281,1.4947690165589431,0.09582123600710014
France,UEFA,38,2.236842105263158,2.2666666666666666,1264.0461962292168,1270.4022724746987,1.70570364662791,1.4003809523809525,1.2437917,1.4499587661394493,0.23491302956324803
Senegal,CAF,43,2.046511627906977,2.6,1066.5631861936029,1094.8026480390413,1.4376071717940184,1.460166666666666,1.2686069,1.3887935798765028,0.10469413071569222
Australia,AFC,36,1.9166666666666667,1.6666666666666667,1151.7449002757648,1217.2202363440704,1.3109627993110005,1.457833333333333,1.3438163,1.3708708043364413,0.07708241622764984
Uzbekistan,AFC,40,1.6,1.3333333333333333,1130.2870448560777,1169.1761272652368,1.1828149003182364,1.2919999999999998,1.6280618,1.3676255572370195,0.23205734793577323
Brazil,CONMEBOL,35,1.6571428571428573,1.8,1324.4849094606147,1339.8988698446121,1.6655787230537524,1.3973095238095246,1.0256933,1.3628605147498156,0.3213306555004407
South Korea,AFC,39,1.9487179487179487,1.6,1163.1833594360032,1199.223727300882,1.1950103517590005,1.330738095238096,1.4157771,1.313841844736235,0.11134900238155132
Uruguay,CONMEBOL,38,1.394736842105263,0.9333333333333333,1284.9098514048628,1312.2395211879286,1.4104944986931165,1.300476190476191,1.2119906,1.3076537613443997,0.09944640818821292
Paraguay,CONMEBOL,32,0.90625,1.2666666666666666,1320.1980845567687,1343.3712822861232,1.386191265449618,1.0745,1.4157095,1.2921335869980173,0.18905320711164955
Switzerland,UEFA,37,1.9189189189189189,2.2666666666666666,1205.4250054899348,1263.5105065230516,1.5392485707583785,1.2257857142857151,1.0267861,1.263940124662525,0.2583529912549348
Sweden,UEFA,35,2.0285714285714285,2.1333333333333333,1157.3702329686864,1178.9712726096766,1.261080524732428,1.2441428571428574,1.2374727,1.2475653450880875,0.012170372432414138
Iran,AFC,37,2.2432432432432434,1.8,1083.135502634572,1156.342868942989,1.3021290552286544,1.1699285714285717,1.0899533,1.1873369766647743,0.10715375332827966
United States,CONCACAF,52,1.9423076923076923,1.8,1240.2123372729602,1290.0422255050005,1.2197876970030364,1.2423571428571434,1.0713238,1.177822864087813,0.09291873096281317
Mexico,CONCACAF,54,1.4814814814814814,1.0666666666666667,1243.6056299675765,1297.3919930217419,1.1686700482810548,1.1349047619047623,1.1393727,1.1476491721996955,0.018341171049136296
Algeria,CAF,47,2.2127659574468086,2.2,1036.6888370102572,1076.6299040962156,1.1421085293497675,1.1583333333333334,1.0580804,1.1195074324940986,0.05381234152528208
Tunisia,CAF,44,1.4318181818181819,1.8666666666666667,1060.6064241576385,1085.6453770711153,1.1617372882930588,1.0198333333333331,1.1355462,1.1057056096847901,0.07551178095870897
Morocco,CAF,48,2.0833333333333335,1.7333333333333334,1075.2081933322527,1159.3322792330735,1.2063600796862284,0.9823571428571433,1.1210579,1.103258363515739,0.11305726733399478
Scotland,UEFA,35,1.457142857142857,1.4666666666666666,1230.71453057284,1210.3943764498006,1.0639800208945882,1.2104047619047618,1.0337484,1.1027110570299186,0.0944824769718225
Jordan,AFC,49,1.7346938775510203,1.6666666666666667,1129.9301457974175,1189.210859402329,0.9665250877463918,1.0599761904761906,1.1906422,1.0723811719619505,0.11257236293141644
Ivory Coast,CAF,43,1.8372093023255813,1.8666666666666667,1050.255756218768,1108.3379706976195,1.1523281524693365,1.0242857142857142,0.968442,1.0483519631851654,0.09427574143552941
Bosnia and Herzegovina,UEFA,31,1.2258064516129032,1.6666666666666667,1145.2003812929859,1117.7828581498748,0.8711414851045558,1.1107142857142862,1.113408,1.0317545800978782,0.13910154095318605
Canada,CONCACAF,41,1.4390243902439024,1.6,1234.9746983850262,1214.9582629656138,1.4130311292892208,1.0120714285714285,0.62102604,1.015376198994728,0.3960128872180197
DR Congo,CAF,43,1.2325581395348837,1.6,1054.8544477589567,1071.5098524216517,0.8821413229239052,0.9561190476190479,1.0765619,0.9716074327794545,0.09813134288191662
Panama,CONCACAF,51,1.5686274509803921,1.8,1167.9973264809687,1108.7597064811541,1.1435973711351624,0.9654761904761905,0.72694623,0.9453399321048056,0.20905416534582405
Egypt,CAF,45,1.6666666666666667,1.1333333333333333,1057.926332520647,1163.511297712841,0.9027594470009164,0.8993333333333332,1.0120587,0.9380505050760162,0.06411589603434631
